重庆移动内网,#genre#
湖南卫视,http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226698/1.m3u8
江苏卫视,http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226692/1.m3u8
江西卫视,http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226726/1.m3u8
辽宁卫视,http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226689/1.m3u8
黑龙江卫视,http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226716/1.m3u8
山东卫视,http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226693/1.m3u8
四川卫视,http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226659/1.m3u8
天津卫视,http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226686/1.m3u8
海南卫视,http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226679/1.m3u8
河北卫视,http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226684/1.m3u8

重温经典,https://live.mxdyeah.top/live.php?id=cwjdHD
CHC动作电影,https://live.mxdyeah.top/live.php?id=chcdzdyHD
CHC家庭影院,https://live.mxdyeah.top/live.php?id=chcjtyyHD
CHC影迷电影,https://live.mxdyeah.top/live.php?id=chcgqdyHD
黑莓电影,https://tv2.2cf.x10.mx/gx/3221225740/tv2.m3u8
惊悚悬疑,https://tv2.2cf.x10.mx/gx/3221225746/tv2.m3u8
中国功夫,https://tv2.2cf.x10.mx/gx/3221225690/tv2.m3u8
古装剧场,https://tv2.2cf.x10.mx/gx/3221225706/tv2.m3u8
军旅剧场,https://tv2.2cf.x10.mx/gx/3221225727/tv2.m3u8
动作电影,https://tv2.2cf.x10.mx/gx/3221225703/tv2.m3u8
欢乐剧场,https://tv2.2cf.x10.mx/gx/3221226049/tv2.m3u8
家庭剧场,https://tv2.2cf.x10.mx/gx/3221225743/tv2.m3u8

